flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,terminal,aircraft_type,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi
2024-08-01,F0046,B6,1529,N3044J,DEP,JFK,RSW,T5,narrow,06:30,390,06:26,386.0,16.0,402.0,-4.0,1074.0
2024-08-01,F0047,B6,917,N3125J,ARR,BOS,JFK,T5,narrow,06:30,390,,371.0,8.0,363.0,-19.0,187.0
2024-08-01,F0048,B6,2725,N623JB,DEP,JFK,TPA,T5,narrow,06:30,390,06:22,382.0,31.0,413.0,-8.0,1005.0
2024-08-01,F0049,B6,2285,N3138J,DEP,JFK,RDU,T5,narrow,06:30,390,06:31,391.0,21.0,412.0,1.0,427.0
2024-08-01,F0050,9E,5176,N153PQ,ARR,BTV,JFK,T4,narrow,06:39,399,,499.0,23.0,476.0,100.0,266.0
2024-08-01,F0051,DL,960,N1201P,ARR,LAX,JFK,T4,narrow,06:40,400,,395.0,8.0,387.0,-5.0,2475.0
2024-08-01,F0052,AA,1487,N321TG,DEP,JFK,PHX,T8,narrow,06:50,410,06:46,406.0,18.0,424.0,-4.0,2153.0
2024-08-01,F0053,B6,189,N923JB,DEP,JFK,SAN,T5,narrow,06:55,415,06:53,413.0,32.0,445.0,-2.0,2446.0
2024-08-01,F0054,DL,2390,N136DQ,DEP,JFK,MSP,T4,narrow,06:55,415,06:55,415.0,20.0,435.0,0.0,1029.0
2024-08-01,F0055,AA,276,N105NN,ARR,SFO,JFK,T8,narrow,06:59,419,,395.0,11.0,384.0,-24.0,2586.0
2024-08-01,F0056,DL,845,N523DE,ARR,SAN,JFK,T4,narrow,06:59,419,,429.0,5.0,424.0,10.0,2446.0
2024-08-01,F0057,AA,2131,N925NN,DEP,JFK,MIA,T8,narrow,06:59,419,06:56,416.0,22.0,438.0,-3.0,1089.0
2024-08-01,F0058,9E,5318,N302PQ,ARR,ROC,JFK,T4,narrow,06:59,419,,402.0,7.0,395.0,-17.0,264.0
2024-08-01,F0059,DL,548,N538DN,ARR,PHX,JFK,T4,narrow,06:59,419,,407.0,5.0,402.0,-12.0,2153.0
2024-08-01,F0060,YX,5810,N823MD,ARR,BUF,JFK,T8,narrow,06:59,419,,406.0,8.0,398.0,-13.0,301.0
2024-08-01,F0061,B6,163,N3156J,DEP,JFK,SRQ,T5,narrow,06:59,419,07:57,477.0,26.0,503.0,58.0,1041.0
2024-08-01,F0062,B6,201,N3162J,ARR,BUF,JFK,T5,narrow,07:00,420,,493.0,10.0,483.0,73.0,301.0
2024-08-01,F0063,DL,699,N501DA,DEP,JFK,SEA,T4,narrow,07:00,420,06:59,419.0,20.0,439.0,-1.0,2422.0
2024-08-01,F0064,9E,5265,N337PQ,ARR,ITH,JFK,T4,narrow,07:00,420,,399.0,6.0,393.0,-21.0,189.0
2024-08-01,F0065,9E,5363,N137EV,ARR,SYR,JFK,T4,narrow,07:00,420,,393.0,8.0,385.0,-27.0,209.0
2024-08-01,F0066,AS,33,N929AK,DEP,JFK,SFO,T7,narrow,07:00,420,06:58,418.0,22.0,440.0,-2.0,2586.0
2024-08-01,F0067,DL,668,N707TW,DEP,JFK,SFO,T4,narrow,07:00,420,06:59,419.0,25.0,444.0,-1.0,2586.0
2024-08-01,F0068,DL,1230,N776DE,DEP,JFK,AUS,T4,narrow,07:00,420,06:54,414.0,18.0,432.0,-6.0,1521.0
2024-08-01,F0069,DL,2042,N813DN,DEP,JFK,TPA,T4,narrow,07:00,420,06:58,418.0,30.0,448.0,-2.0,1005.0
2024-08-01,F0070,DL,1528,N829DN,DEP,JFK,MIA,T4,narrow,07:00,420,07:12,432.0,24.0,456.0,12.0,1089.0
2024-08-01,F0071,DL,742,N176DN,DEP,JFK,LAX,T4,narrow,07:00,420,06:54,414.0,29.0,443.0,-6.0,2475.0
2024-08-01,F0072,AA,2966,N9012,DEP,JFK,STT,T8,narrow,07:00,420,07:51,471.0,17.0,488.0,51.0,1623.0
2024-08-01,F0073,DL,2049,N120DN,DEP,JFK,MCO,T4,narrow,07:05,425,07:05,425.0,23.0,448.0,0.0,944.0
2024-08-01,F0074,DL,2320,N3769L,DEP,JFK,RSW,T4,narrow,07:05,425,06:59,419.0,33.0,452.0,-6.0,1074.0
2024-08-01,F0075,AS,607,N806AK,ARR,ANC,JFK,T7,narrow,07:05,425,,419.0,9.0,410.0,-6.0,3386.0
2024-08-01,F0076,AS,36,N935AK,ARR,SAN,JFK,T7,narrow,07:06,426,,445.0,12.0,433.0,19.0,2446.0
2024-08-01,F0077,B6,1285,N3104J,ARR,ROC,JFK,T5,narrow,07:08,428,,418.0,10.0,408.0,-10.0,264.0
2024-08-01,F0078,AA,33,N117AN,DEP,JFK,LAX,T8,narrow,07:10,430,07:03,423.0,26.0,449.0,-7.0,2475.0
2024-08-01,F0079,B6,677,N3125J,DEP,JFK,JAX,T5,narrow,07:15,435,07:11,431.0,22.0,453.0,-4.0,828.0
2024-08-01,F0080,YX,4805,N418YX,ARR,RDU,JFK,T8,narrow,07:20,440,,412.0,5.0,407.0,-28.0,427.0
2024-08-01,F0081,9E,5425,N301PQ,ARR,BWI,JFK,T4,narrow,07:23,443,,488.0,17.0,471.0,45.0,184.0
2024-08-01,F0082,YX,5660,N201JQ,ARR,DCA,JFK,T8,narrow,07:25,445,,442.0,12.0,430.0,-3.0,213.0
2024-08-01,F0083,DL,2611,N124DU,ARR,BOS,JFK,T4,narrow,07:25,445,,436.0,8.0,428.0,-9.0,187.0
2024-08-01,F0084,HA,50,N378HA,ARR,HNL,JFK,T8,narrow,07:25,445,,463.0,18.0,445.0,18.0,4983.0
2024-08-01,F0085,9E,5356,N926XJ,ARR,ORF,JFK,T4,narrow,07:25,445,,439.0,12.0,427.0,-6.0,290.0
2024-08-01,F0086,DL,452,N505DZ,ARR,SEA,JFK,T4,narrow,07:25,445,,450.0,11.0,439.0,5.0,2422.0
2024-08-01,F0087,DL,1132,N543DE,ARR,PDX,JFK,T4,narrow,07:25,445,,456.0,14.0,442.0,11.0,2454.0
2024-08-01,F0088,YX,4360,N438YX,ARR,ORF,JFK,T8,narrow,07:28,448,,424.0,8.0,416.0,-24.0,290.0
2024-08-01,F0089,DL,1182,N711ZX,ARR,SFO,JFK,T4,narrow,07:30,450,,478.0,15.0,463.0,28.0,2586.0
2024-08-01,F0090,B6,2015,N964JT,DEP,JFK,SFO,T5,narrow,07:30,450,07:26,446.0,21.0,467.0,-4.0,2586.0
2024-08-01,F0091,B6,411,N986JB,DEP,JFK,LAS,T5,narrow,07:30,450,07:27,447.0,17.0,464.0,-3.0,2248.0
2024-08-01,F0092,DL,1422,N325DN,DEP,JFK,FLL,T4,narrow,07:30,450,08:42,522.0,22.0,544.0,72.0,1069.0
2024-08-01,F0093,DL,2018,N382DA,DEP,JFK,PBI,T4,narrow,07:30,450,07:35,455.0,18.0,473.0,5.0,1028.0
2024-08-01,F0094,B6,508,N284JB,DEP,JFK,PWM,T5,narrow,07:30,450,07:26,446.0,15.0,461.0,-4.0,273.0
2024-08-01,F0095,9E,4925,N186PQ,DEP,JFK,JAX,T4,narrow,07:30,450,07:26,446.0,22.0,468.0,-4.0,828.0
2024-08-01,F0096,9E,5080,N153PQ,DEP,JFK,DTW,T4,narrow,07:30,450,09:08,548.0,44.0,592.0,98.0,509.0
2024-08-01,F0097,B6,341,N595JB,DEP,JFK,SAV,T5,narrow,07:30,450,07:45,465.0,18.0,483.0,15.0,718.0
2024-08-01,F0098,AS,31,N534AS,DEP,JFK,SEA,T7,narrow,07:30,450,07:25,445.0,25.0,470.0,-5.0,2422.0
2024-08-01,F0099,DL,795,N544DN,DEP,JFK,LAS,T4,narrow,07:30,450,07:37,457.0,17.0,474.0,7.0,2248.0
2024-08-01,F0100,B6,746,N621JB,ARR,PSE,JFK,T5,narrow,07:30,450,,522.0,6.0,516.0,72.0,1617.0
2024-08-01,F0101,DL,1877,N549DN,DEP,JFK,SJU,T4,narrow,07:35,455,07:33,453.0,31.0,484.0,-2.0,1598.0
2024-08-01,F0102,YX,4587,N132HQ,ARR,PIT,JFK,T8,narrow,07:39,459,,445.0,6.0,439.0,-14.0,340.0
2024-08-01,F0103,AS,38,N703AL,ARR,SFO,JFK,T7,narrow,07:40,460,,474.0,16.0,458.0,14.0,2586.0
2024-08-01,F0104,B6,162,N956JT,ARR,SMF,JFK,T5,narrow,07:40,460,,472.0,15.0,457.0,12.0,2521.0
2024-08-01,F0105,YX,4538,N408YX,DEP,JFK,DCA,T8,narrow,07:45,465,07:47,467.0,18.0,485.0,2.0,213.0
2024-08-01,F0106,B6,1187,N3112J,ARR,BOS,JFK,T5,narrow,07:52,472,,451.0,9.0,442.0,-21.0,187.0
2024-08-01,F0107,9E,5239,N913XJ,ARR,RDU,JFK,T4,narrow,07:55,475,,458.0,13.0,445.0,-17.0,427.0
2024-08-01,F0108,B6,80,N627JB,ARR,RNO,JFK,T5,narrow,07:59,479,,482.0,15.0,467.0,3.0,2411.0
2024-08-01,F0109,B6,264,N942JB,ARR,SEA,JFK,T5,narrow,07:59,479,,512.0,15.0,497.0,33.0,2422.0
2024-08-01,F0110,AA,842,N775XF,DEP,JFK,AUS,T8,narrow,07:59,479,07:52,472.0,41.0,513.0,-7.0,1521.0
2024-08-01,F0111,AA,1444,N123NN,DEP,JFK,CLT,T8,narrow,07:59,479,08:06,486.0,24.0,510.0,7.0,541.0
2024-08-01,F0112,AS,26,N928AK,ARR,SEA,JFK,T7,narrow,07:59,479,,496.0,14.0,482.0,17.0,2422.0
2024-08-01,F0113,B6,2718,N3157J,DEP,JFK,BOS,T5,narrow,08:00,480,07:55,475.0,18.0,493.0,-5.0,187.0
2024-08-01,F0114,DL,1166,N357NW,DEP,JFK,SAT,T4,narrow,08:00,480,08:00,480.0,13.0,493.0,0.0,1587.0
2024-08-01,F0115,B6,723,N946JL,DEP,JFK,LAX,T5,narrow,08:00,480,09:03,543.0,28.0,571.0,63.0,2475.0
2024-08-01,F0116,9E,5207,N137EV,DEP,JFK,SAV,T4,narrow,08:00,480,07:54,474.0,15.0,489.0,-6.0,718.0
2024-08-01,F0117,B6,75,N3104J,DEP,JFK,MSY,T5,narrow,08:00,480,08:00,480.0,16.0,496.0,0.0,1182.0
2024-08-01,F0118,B6,1105,N3077J,DEP,JFK,ORD,T5,narrow,08:00,480,08:20,500.0,16.0,516.0,20.0,740.0
2024-08-01,F0119,DL,636,N197DN,DEP,JFK,LAX,T4,narrow,08:00,480,08:56,536.0,38.0,574.0,56.0,2475.0
2024-08-01,F0120,AA,860,N850NN,DEP,JFK,DFW,T8,narrow,08:00,480,07:59,479.0,19.0,498.0,-1.0,1391.0
2024-08-01,F0121,AA,1610,N319TE,DEP,JFK,MIA,T8,narrow,08:00,480,08:01,481.0,26.0,507.0,1.0,1089.0
2024-08-01,F0122,DL,1368,N336NB,DEP,JFK,MSY,T4,narrow,08:00,480,08:10,490.0,30.0,520.0,10.0,1182.0
2024-08-01,F0123,B6,1083,N746JB,DEP,JFK,MCO,T5,narrow,08:00,480,08:00,480.0,28.0,508.0,0.0,944.0
2024-08-01,F0124,YX,5705,N233JQ,DEP,JFK,ORD,T8,narrow,08:00,480,07:57,477.0,22.0,499.0,-3.0,740.0
2024-08-01,F0125,9E,5440,N337PQ,DEP,JFK,MCI,T4,narrow,08:00,480,07:55,475.0,11.0,486.0,-5.0,1113.0
2024-08-01,F0126,B6,2473,N3112J,DEP,JFK,CHS,T5,narrow,08:00,480,08:37,517.0,24.0,541.0,37.0,636.0
2024-08-01,F0127,9E,5052,N302PQ,DEP,JFK,CLT,T4,narrow,08:05,485,08:01,481.0,34.0,515.0,-4.0,541.0
2024-08-01,F0128,9E,5015,N181PQ,DEP,JFK,CHS,T4,narrow,08:05,485,08:02,482.0,18.0,500.0,-3.0,636.0
2024-08-01,F0129,YX,5596,N823MD,DEP,JFK,RIC,T8,narrow,08:05,485,08:06,486.0,25.0,511.0,1.0,288.0
2024-08-01,F0130,DL,2227,N3767,DEP,JFK,ATL,T4,narrow,08:05,485,08:17,497.0,21.0,518.0,12.0,760.0
2024-08-01,F0131,B6,948,N968JT,ARR,LAS,JFK,T5,narrow,08:06,486,,512.0,27.0,485.0,26.0,2248.0
2024-08-01,F0132,DL,1930,N6707A,DEP,JFK,STT,T4,narrow,08:08,488,08:04,484.0,20.0,504.0,-4.0,1623.0
2024-08-01,F0133,OO,3626,N322SY,ARR,CLE,JFK,T4,narrow,08:09,489,,476.0,18.0,458.0,-13.0,425.0
2024-08-01,F0134,B6,2154,N948JB,ARR,ONT,JFK,T5,narrow,08:10,490,,530.0,19.0,511.0,40.0,2429.0
2024-08-01,F0135,AA,2819,N985NN,DEP,JFK,ORD,T8,narrow,08:15,495,08:09,489.0,20.0,509.0,-6.0,740.0
2024-08-01,F0136,B6,503,N942JB,DEP,JFK,SJU,T5,narrow,08:20,500,08:33,513.0,23.0,536.0,13.0,1598.0
2024-08-01,F0137,AA,28,N116AN,ARR,LAX,JFK,T8,narrow,08:24,504,,535.0,15.0,520.0,31.0,2475.0
2024-08-01,F0138,B6,1316,N947JB,ARR,LAX,JFK,T5,narrow,08:24,504,,504.0,13.0,491.0,0.0,2475.0
2024-08-01,F0139,DL,791,N580DT,DEP,JFK,PHX,T4,narrow,08:30,510,08:28,508.0,12.0,520.0,-2.0,2153.0
2024-08-01,F0140,DL,532,N103DY,DEP,JFK,DEN,T4,narrow,08:30,510,08:25,505.0,29.0,534.0,-5.0,1626.0
2024-08-01,F0141,AA,179,N102NN,DEP,JFK,SFO,T8,narrow,08:30,510,08:22,502.0,24.0,526.0,-8.0,2586.0
2024-08-01,F0142,9E,5097,N301PQ,DEP,JFK,RDU,T4,narrow,08:30,510,08:48,528.0,29.0,557.0,18.0,427.0
2024-08-01,F0143,B6,1601,N955JB,DEP,JFK,FLL,T5,narrow,08:30,510,08:50,530.0,31.0,561.0,20.0,1069.0
2024-08-01,F0144,9E,5079,N326PQ,ARR,CLT,JFK,T4,narrow,08:30,510,,500.0,13.0,487.0,-10.0,541.0
2024-08-01,F0145,DL,915,N171DN,ARR,LAX,JFK,T4,narrow,08:32,512,,557.0,16.0,541.0,45.0,2475.0
2024-08-01,F0146,DL,683,N546DN,DEP,JFK,SAN,T4,narrow,08:35,515,08:32,512.0,26.0,538.0,-3.0,2446.0
2024-08-01,F0147,B6,884,N3185J,ARR,MCO,JFK,T5,narrow,08:40,520,,514.0,8.0,506.0,-6.0,944.0
2024-08-01,F0148,DL,352,N577DN,DEP,JFK,PDX,T4,narrow,08:40,520,08:37,517.0,23.0,540.0,-3.0,2454.0
2024-08-01,F0149,DL,356,N124DU,DEP,JFK,DFW,T4,narrow,08:45,525,08:48,528.0,11.0,539.0,3.0,1391.0
2024-08-01,F0150,9E,4985,N913XJ,DEP,JFK,CVG,T4,narrow,08:45,525,08:44,524.0,22.0,546.0,-1.0,589.0
2024-08-01,F0151,YX,4376,N438YX,DEP,JFK,BOS,T8,narrow,08:45,525,08:39,519.0,18.0,537.0,-6.0,187.0
2024-08-01,F0152,DL,2693,N104DN,ARR,MCO,JFK,T4,narrow,08:49,529,,512.0,7.0,505.0,-17.0,944.0
2024-08-01,F0153,B6,1902,N599JB,ARR,FLL,JFK,T5,narrow,08:53,533,,515.0,6.0,509.0,-18.0,1069.0
2024-08-01,F0154,B6,614,N570JB,ARR,BQN,JFK,T5,narrow,08:54,534,,558.0,6.0,552.0,24.0,1576.0
2024-08-01,F0155,9E,5436,N182GJ,DEP,JFK,SYR,T4,narrow,08:55,535,08:53,533.0,26.0,559.0,-2.0,209.0
2024-08-01,F0156,B6,2001,N3121J,ARR,BUF,JFK,T5,narrow,08:57,537,,528.0,10.0,518.0,-9.0,301.0
2024-08-01,F0157,B6,2304,N606JB,ARR,SJU,JFK,T5,narrow,08:59,539,,563.0,20.0,543.0,24.0,1598.0
2024-08-01,F0158,B6,2091,N324JB,DEP,JFK,ACK,T5,narrow,09:00,540,09:00,540.0,30.0,570.0,0.0,199.0
2024-08-01,F0159,B6,1602,N3194J,DEP,JFK,BUF,T5,narrow,09:00,540,09:34,574.0,29.0,603.0,34.0,301.0
2024-08-01,F0160,9E,5223,N678CA,DEP,JFK,BUF,T4,narrow,09:00,540,08:55,535.0,52.0,587.0,-5.0,301.0
2024-08-01,F0161,9E,5216,N925XJ,ARR,DTW,JFK,T4,narrow,09:00,540,,536.0,7.0,529.0,-4.0,509.0
2024-08-01,F0162,9E,5531,N200PQ,ARR,BGR,JFK,T4,narrow,09:00,540,,515.0,7.0,508.0,-25.0,382.0
2024-08-01,F0163,DL,669,N702TW,DEP,JFK,SFO,T4,narrow,09:00,540,09:09,549.0,32.0,581.0,9.0,2586.0
2024-08-01,F0164,YX,4357,N420YX,ARR,BOS,JFK,T8,narrow,09:00,540,,521.0,10.0,511.0,-19.0,187.0
2024-08-01,F0165,YX,5685,N241JQ,ARR,PIT,JFK,T8,narrow,09:00,540,,526.0,13.0,513.0,-14.0,340.0
2024-08-01,F0166,DL,190,N196DN,ARR,HNL,JFK,T4,narrow,09:00,540,,667.0,7.0,660.0,127.0,4983.0
2024-08-01,F0167,DL,767,N174DN,DEP,JFK,LAX,T4,narrow,09:00,540,08:57,537.0,31.0,568.0,-3.0,2475.0
2024-08-01,F0168,YX,5683,N201JQ,DEP,JFK,CMH,T8,narrow,09:00,540,08:55,535.0,55.0,590.0,-5.0,483.0
2024-08-01,F0169,AS,35,N275AK,DEP,JFK,SAN,T7,narrow,09:00,540,08:52,532.0,33.0,565.0,-8.0,2446.0
2024-08-01,F0170,B6,323,N929JB,DEP,JFK,LAX,T5,narrow,09:00,540,08:55,535.0,27.0,562.0,-5.0,2475.0
2024-08-01,F0171,OO,4102,N322SY,DEP,JFK,BNA,T4,narrow,09:00,540,08:55,535.0,31.0,566.0,-5.0,765.0
2024-08-01,F0172,9E,5445,N305PQ,ARR,CHS,JFK,T4,narrow,09:02,542,,541.0,21.0,520.0,-1.0,636.0
2024-08-01,F0173,AA,976,N108NN,DEP,JFK,SNA,T8,narrow,09:05,545,08:58,538.0,29.0,567.0,-7.0,2454.0
2024-08-01,F0174,9E,4932,N308PQ,ARR,IND,JFK,T4,narrow,09:07,547,,543.0,11.0,532.0,-4.0,665.0
2024-08-01,F0175,9E,5032,N908XJ,ARR,SAV,JFK,T4,narrow,09:09,549,,555.0,19.0,536.0,6.0,718.0
2024-08-01,F0176,YX,5656,N211JQ,ARR,CMH,JFK,T8,narrow,09:09,549,,557.0,22.0,535.0,8.0,483.0
2024-08-01,F0177,B6,183,N2044J,DEP,JFK,MCO,T5,narrow,09:13,553,10:49,649.0,22.0,671.0,96.0,944.0
2024-08-01,F0178,9E,4976,N326PQ,DEP,JFK,IND,T4,narrow,09:20,560,09:15,555.0,38.0,593.0,-5.0,665.0
2024-08-01,F0179,9E,4959,N935XJ,ARR,JAX,JFK,T4,narrow,09:25,565,,684.0,8.0,676.0,119.0,828.0
2024-08-01,F0180,AA,3,N106NN,DEP,JFK,LAX,T8,narrow,09:25,565,09:18,558.0,26.0,584.0,-7.0,2475.0
2024-08-01,F0181,B6,725,N3185J,DEP,JFK,SAT,T5,narrow,09:25,565,09:23,563.0,23.0,586.0,-2.0,1587.0
2024-08-01,F0182,YX,4338,N132HQ,DEP,JFK,CVG,T8,narrow,09:28,568,09:18,558.0,30.0,588.0,-10.0,589.0
2024-08-01,F0183,AA,682,N321RL,ARR,MIA,JFK,T8,narrow,09:30,570,,561.0,21.0,540.0,-9.0,1089.0
2024-08-01,F0184,B6,1,N599JB,DEP,JFK,FLL,T5,narrow,09:38,578,09:35,575.0,27.0,602.0,-3.0,1069.0
2024-08-01,F0185,YX,4315,N420YX,DEP,JFK,CMH,T8,narrow,09:40,580,09:28,568.0,33.0,601.0,-12.0,483.0
2024-08-01,F0186,B6,115,N935JB,DEP,JFK,SFO,T5,narrow,09:40,580,09:36,576.0,19.0,595.0,-4.0,2586.0
2024-08-01,F0187,AS,21,N804AK,DEP,JFK,SEA,T7,narrow,09:40,580,10:19,619.0,18.0,637.0,39.0,2422.0
2024-08-01,F0188,AS,615,N806AK,DEP,JFK,ANC,T7,narrow,09:45,585,09:38,578.0,34.0,612.0,-7.0,3386.0
2024-08-01,F0189,B6,1184,N949JT,ARR,MCO,JFK,T5,narrow,09:49,589,,571.0,4.0,567.0,-18.0,944.0
2024-08-01,F0190,9E,5341,N925XJ,DEP,JFK,ROC,T4,narrow,09:50,590,09:45,585.0,25.0,610.0,-5.0,264.0
2024-08-01,F0191,B6,1497,N621JB,DEP,JFK,DEN,T5,narrow,09:50,590,09:51,591.0,22.0,613.0,1.0,1626.0
2024-08-01,F0192,YX,5750,N241JQ,DEP,JFK,DCA,T8,narrow,09:50,590,09:49,589.0,25.0,614.0,-1.0,213.0
2024-08-01,F0193,9E,5018,N305PQ,DEP,JFK,CLE,T4,narrow,09:52,592,09:46,586.0,29.0,615.0,-6.0,425.0
2024-08-01,F0194,B6,154,N652JB,ARR,PBI,JFK,T5,narrow,09:55,595,,572.0,7.0,565.0,-23.0,1028.0
2024-08-01,F0195,9E,5370,N308PQ,DEP,JFK,ORF,T4,narrow,09:57,597,09:51,591.0,34.0,625.0,-6.0,290.0
